timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_L_raw,fsr_R_raw,fsr_L,fsr_R,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1769361739.339350,2.581320,12.285878,-9.644716,0.082990,0.065410,0.105668,0.016158,1769361739.339350,,,,,,2.269838,-14.990739,,,1769361739.296522,11.503890,-1.109248,,,1769361739.295522
1769361739.371177,2.613148,12.432860,-9.784744,1.443521,-1.274093,1.925374,0.016158,1769361739.371177,,,,,,2.269838,-14.990739,,,1769361739.296522,11.503890,-1.109248,,,1769361739.295522
1769361739.408159,2.650129,12.544946,-9.961952,1.919718,-2.329402,3.018514,0.016158,1769361739.408159,,,,,,4.056105,-15.048596,,,1769361739.399116,12.116830,-1.049694,,,1769361739.399116
1769361739.439101,2.681072,12.692810,-10.138021,2.777421,-3.337660,4.342124,0.016158,1769361739.439101,,,,,,4.056105,-15.048596,,,1769361739.399116,12.116830,-1.049694,,,1769361739.399116
1769361739.468357,2.710327,12.842510,-10.386244,3.479273,-4.881722,5.994710,0.016158,1769361739.468357,,,,,,4.056105,-15.048596,,,1769361739.399116,12.116830,-1.049694,,,1769361739.399116
1769361739.498224,2.740195,12.953599,-10.527263,3.551319,-4.833665,5.998015,0.016158,1769361739.498224,,,,,,4.056105,-15.048596,,,1769361739.399116,12.116830,-1.049694,,,1769361739.399116
1769361739.529037,2.771008,12.991246,-10.598324,2.852454,-4.075412,4.974483,0.016158,1769361739.529037,,,,,,5.892618,-15.245238,,,1769361739.501253,13.064359,-2.294951,,,1769361739.499224
1769361739.566471,2.808442,12.991246,-10.598324,1.996718,-2.852788,3.482138,0.016158,1769361739.566471,,,,,,5.892618,-15.245238,,,1769361739.501253,13.064359,-2.294951,,,1769361739.499224
1769361739.589591,2.831562,12.953599,-10.527263,0.909204,-1.074885,1.407846,0.016158,1769361739.589591,,,,,,5.892618,-15.245238,,,1769361739.501253,13.064359,-2.294951,,,1769361739.499224
1769361739.648360,2.890330,12.914082,-10.384012,0.434714,-0.021155,0.435229,0.016158,1769361739.648360,,,,,,8.010169,-15.337987,,,1769361739.601627,15.074321,-2.535865,,,1769361739.601627
1769361739.686337,2.928307,12.875496,-10.276847,-0.000508,0.831746,0.831746,0.016158,1769361739.686337,,,,,,8.010169,-15.337987,,,1769361739.601627,15.074321,-2.535865,,,1769361739.601627
1769361739.714491,2.956462,12.836908,-10.169676,-0.411527,1.724188,1.772619,0.016158,1769361739.714491,,,,,,10.146849,-15.213853,,,1769361739.701826,15.074321,-2.535865,,,1769361739.601627
1769361739.747393,2.989364,12.798318,-10.062499,-0.639933,2.184161,2.275977,0.016158,1769361739.747393,,,,,,10.146849,-15.213853,,,1769361739.701826,16.152761,-0.685242,,,1769361739.701400
1769361739.776139,3.018110,12.760660,-9.991413,-0.840960,2.270785,2.421503,0.016158,1769361739.776139,,,,,,10.146849,-15.213853,,,1769361739.701826,16.152761,-0.685242,,,1769361739.701400
1769361739.809019,3.050989,12.760660,-9.991413,-0.588672,1.589549,1.695052,0.016158,1769361739.809019,,,,,,10.146849,-15.213853,,,1769361739.701826,16.152761,-0.685242,,,1769361739.701400
1769361739.837162,3.079133,12.723000,-9.920323,-0.813517,1.870473,2.039725,0.016158,1769361739.837162,,,,,,12.343438,-14.953687,,,1769361739.826082,16.152761,-0.685242,,,1769361739.701400
1769361739.867262,3.109233,12.723000,-9.920323,-0.569462,1.309331,1.427808,0.016158,1769361739.867262,,,,,,12.343438,-14.953687,,,1769361739.826082,16.326733,2.217057,,,1769361739.803989
1769361739.898019,3.139990,12.618415,-10.031941,-1.418723,-0.172170,1.429132,0.016158,1769361739.898019,,,,,,12.343438,-14.953687,,,1769361739.826082,16.326733,2.217057,,,1769361739.803989
1769361739.930499,3.172470,12.409202,-10.255221,-2.925495,-2.182834,3.650107,0.016158,1769361739.930499,,,,,,14.728216,-14.872748,,,1769361739.904531,18.830211,1.407520,,,1769361739.903529
1769361739.965123,3.207094,12.198997,-10.442452,-3.869178,-3.150256,4.989454,0.016158,1769361739.965123,,,,,,14.728216,-14.872748,,,1769361739.904531,18.830211,1.407520,,,1769361739.903529
1769361739.995337,3.237308,11.986862,-10.557507,-4.814721,-3.347560,5.864102,0.016158,1769361739.995337,,,,,,14.728216,-14.872748,,,1769361739.904531,18.830211,1.407520,,,1769361739.903529
1769361740.046713,3.288684,11.740701,-10.745957,-4.807727,-3.443721,5.913835,0.016158,1769361740.046713,,,,,,16.930010,-14.259095,,,1769361740.004623,16.804024,6.912387,,,1769361740.003623
1769361740.072533,3.314503,11.527502,-10.824963,-5.842587,-3.328575,6.724227,0.016158,1769361740.072533,,,,,,16.930010,-14.259095,,,1769361740.004623,16.804024,6.912387,,,1769361740.003623
1769361740.101573,3.343544,11.383151,-10.793345,-5.581035,-2.003380,5.929712,0.016158,1769361740.101573,,,,,,16.930010,-14.259095,,,1769361740.004623,16.804024,6.912387,,,1769361740.003623
1769361740.130728,3.372699,11.205717,-10.871247,-5.732489,-2.203962,6.141570,0.016158,1769361740.130728,,,,,,18.823858,-13.537677,,,1769361740.120633,16.804024,6.912387,,,1769361740.003623
1769361740.162095,3.404065,10.993304,-10.986437,-6.044311,-2.644475,6.597495,0.016158,1769361740.162095,,,,,,18.823858,-13.537677,,,1769361740.120633,13.585132,11.901063,,,1769361740.104075
1769361740.205306,3.447277,10.745881,-11.138938,-5.948788,-2.909893,6.622352,0.016158,1769361740.205306,,,,,,18.823858,-13.537677,,,1769361740.120633,13.585132,11.901063,,,1769361740.104075
1769361740.238410,3.480380,10.533339,-11.254201,-6.090303,-3.081488,6.825493,0.212985,1769361740.238410,,,,,,19.600904,-13.376296,,,1769361740.228297,13.585132,11.901063,,,1769361740.104075
1769361740.270619,3.512590,10.357582,-11.404507,-5.900205,-3.556987,6.889454,0.381178,1769361740.270619,,,,,,19.600904,-13.376296,,,1769361740.228297,2.469385,6.802689,,,1769361740.206308
1769361740.298572,3.540542,10.145869,-11.555994,-6.402355,-4.115731,7.611137,0.619866,1769361740.298572,,,,,,19.600904,-13.376296,,,1769361740.228297,2.469385,6.802689,,,1769361740.206308
1769361740.330657,3.572627,9.934097,-11.707522,-6.461755,-4.297829,7.760516,0.856373,1769361740.330657,,,,,,19.943790,-12.873379,,,1769361740.321642,1.503106,10.091307,,,1769361740.307112
1769361740.365880,3.607851,9.758202,-11.857941,-6.021350,-4.289609,7.393064,1.050019,1769361740.365880,,,,,,19.943790,-12.873379,,,1769361740.321642,1.503106,10.091307,,,1769361740.307112
1769361740.395956,3.637927,9.583205,-12.044563,-5.960471,-4.864220,7.693364,1.218212,1769361740.395956,,,,,,19.943790,-12.873379,,,1769361740.321642,1.503106,10.091307,,,1769361740.307112
1769361740.449114,3.691084,9.513196,-12.119224,-4.567434,-3.826307,5.958362,1.286026,1769361740.449114,,,,,,20.714731,-11.471263,,,1769361740.431421,6.534569,18.804679,,,1769361740.411697
1769361740.476872,3.718843,9.511316,-12.046880,-3.217519,-1.896555,3.734882,1.279663,1769361740.476872,,,,,,20.714731,-11.471263,,,1769361740.431421,6.534569,18.804679,,,1769361740.411697
