timestamp,leftDistance,rightDistance,collisionFrames,fitEvents,currentFPS
117.082,0,0,14157,3,129.83
117.202,0,0,14174,3,142.28
117.285,0,0,14187,3,155.77
117.383,0,0,14201,3,143.71
117.483,0,0,14219,3,179.59
117.582,0,0,14233,3,140.95
117.685,0,0,14248,3,146.25
117.781,0,0,14265,3,176.8
117.883,0,0,14280,3,146.19
117.983,0,0,14294,3,140.89
118.081,0,0,14311,3,172.52
118.183,0,0,14325,3,137.57
118.282,0,0,14339,3,141.6
118.385,0,0,14357,3,174.78
118.481,0,0,14371,3,145.88
118.585,0,0,14386,3,143.89
118.681,0,0,14403,3,176.79
118.785,0,0,14418,3,144.98
118.887,0,0,14433,3,146.1
118.985,0,0,14450,3,174.29
119.082,0,0,14464,3,144.26
119.193,0,0,14480,3,144.16
119.284,0,0,14495,3,164.09
119.383,0,0,14509,3,141.58
119.5,0,0,14527,3,154.25
119.581,0,0,14541,3,173.3
119.684,0,0,14556,3,145.81
119.78,0,0,14573,3,176.12
119.882,0,0,14588,3,147.15
119.984,0,0,14603,3,146.68
120.081,0,0,14620,3,176.72
120.18,0,0,14634,3,140.64
120.283,0,0,14648,3,136.16
120.385,0,0,14666,3,176.64
120.481,0,0,14680,3,146.33
120.585,0,0,14695,3,143.83
120.685,0,0,14713,3,179.58
120.783,0,0,14727,3,143.17
120.886,0,0,14742,3,145.86
120.981,0,0,14759,3,177.7
121.084,0,0,14774,3,146.53
121.186,0,0,14789,3,147.07
121.282,0,0,14805,3,166.95
121.384,0,0,14819,3,136.42
121.492,0,0,14835,3,147.84
121.584,0,0,14851,3,174.04
121.683,0,0,14865,3,142.15
121.802,0,0,14883,3,150.59
121.884,0,0,14897,3,172.18
121.98,0,0,14911,3,145
122.082,0,0,14929,3,176.03
122.185,0,0,14944,3,146.26
122.285,0,0,14958,3,140.06
122.385,0,0,14975,3,169.33
122.485,0,0,14989,3,139.99
122.584,0,0,15002,3,131.96
122.685,0,0,15020,3,178.4
122.784,0,0,15034,3,141.26
122.88,0,0,15048,3,145
122.981,0,0,15066,3,178.79
123.084,0,0,15081,3,145.71
123.181,0,0,15095,3,143.91
123.283,0,0,15113,3,176.38
123.385,0,0,15128,3,146.91
123.491,0,0,15143,3,141.86
123.584,0,0,15158,3,162.45
123.684,0,0,15171,3,130.07
123.798,0,0,15188,3,148.73
123.884,0,0,15203,3,173.27
123.983,0,0,15217,3,142.06
124.08,0,0,15234,3,174.49
124.184,0,0,15249,3,144.04
124.283,0,0,15263,3,142.13
124.381,0,0,15280,3,173.4
124.485,0,0,15295,3,144.27
124.583,0,0,15309,3,143.01
124.683,0,0,15326,3,169.82
124.781,0,0,15339,3,132.75
124.88,0,0,15353,3,140.7
124.981,0,0,15371,3,178.48
125.084,0,0,15386,3,145.91
125.183,0,0,15400,3,141.86
125.281,0,0,15417,3,173.97
125.385,0,0,15432,3,143.29
125.486,0,0,15447,3,148.46
125.584,0,0,15464,3,173.91
125.682,0,0,15477,3,132.46
125.792,0,0,15493,3,145.91
125.884,0,0,15508,3,161.94
125.984,0,0,15521,3,130.55
