timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1765807801.391674,3.184762,8.306461,-8.484109,0.167151,-0.074806,0.183127,1.285775,1765807801.391674,,,,,,0.251797,0.074924,1765807801.330266,,,-0.275157,1.261968,1765807801.329262
1765807801.423861,3.216949,8.306461,-8.484109,0.117006,-0.052364,0.128189,1.285775,1765807801.423861,,,,,,0.251797,0.074924,1765807801.330266,,,-0.275157,1.261968,1765807801.329262
1765807801.486873,3.279961,8.377991,-8.515273,0.422457,-0.185028,0.461200,1.333999,1765807801.486873,,,,,,0.088327,0.016321,1765807801.431309,,,-1.895172,0.066209,1765807801.430311
1765807801.512477,3.305566,8.377991,-8.515273,0.295720,-0.129520,0.322840,1.333999,1765807801.512477,,,,,,0.088327,0.016321,1765807801.431309,,,-1.895172,0.066209,1765807801.430311
1765807801.548580,3.341668,8.377991,-8.515273,0.207004,-0.090664,0.225988,1.333999,1765807801.548580,,,,,,0.088327,0.016321,1765807801.431309,,,-1.895172,0.066209,1765807801.430311
1765807801.575858,3.368947,8.447710,-8.511582,0.911655,-0.022875,0.911942,1.346725,1765807801.575858,,,,,,0.117708,0.077004,1765807801.552088,,,-0.964369,0.679803,1765807801.529315
1765807801.613805,3.406893,8.447710,-8.511582,0.638159,-0.016013,0.638359,1.346725,1765807801.613805,,,,,,0.117708,0.077004,1765807801.552088,,,-0.964369,0.679803,1765807801.529315
1765807801.653891,3.446979,8.447710,-8.511582,0.446711,-0.011209,0.446852,1.346725,1765807801.653891,,,,,,0.042650,0.237794,1765807801.631667,,,-1.062712,1.871850,1765807801.631667
1765807801.683707,3.476795,8.517422,-8.507893,1.014124,0.029280,1.014547,1.359451,1765807801.683707,,,,,,0.042650,0.237794,1765807801.631667,,,-1.062712,1.871850,1765807801.631667
1765807801.714597,3.507686,8.517422,-8.507893,0.709887,0.020496,0.710183,1.359451,1765807801.714597,,,,,,0.042650,0.237794,1765807801.631667,,,-1.062712,1.871850,1765807801.631667
